iter	Passed	Remaining
401	19891	29589
402	19967	29580
403	20035	29556
404	20096	29524
405	20159	29494
406	20220	29461
407	20281	29428
408	20333	29381
409	20391	29343
410	20452	29310
411	20510	29272
412	20569	29235
413	20636	29210
414	20697	29175
415	20745	29122
416	20804	29086
417	20857	29040
418	20929	29021
419	20993	28990
420	21056	28958
421	21109	28912
422	21165	28870
423	21217	28823
424	21267	28773
425	21316	28722
426	21380	28691
427	21430	28641
428	21490	28603
429	21540	28553
430	21605	28522
431	21683	28509
432	21744	28473
433	21799	28430
434	21862	28395
435	21927	28364
436	21991	28331
437	22053	28297
438	22116	28262
439	22175	28223
440	22223	28169
441	22289	28139
442	22356	28109
443	22414	28068
444	22475	28031
445	22537	27994
446	22609	27971
447	22674	27937
448	22736	27901
449	22791	27856
450	22853	27819
451	22899	27762
452	22952	27714
453	23000	27661
454	23050	27609
455	23102	27561
456	23159	27517
457	23209	27466
458	23258	27413
459	23307	27360
460	23368	27322
461	23422	27275
462	23475	27227
463	23519	27168
464	23570	27118
465	23620	27066
466	23660	27004
467	23712	26955
468	23766	26908
469	23812	26852
470	23877	26818
471	23931	26771
472	23982	26720
473	24030	26666
474	24090	26625
475	24136	26570
476	24186	26519
477	24241	26473
478	24294	26424
479	24349	26378
480	24396	26324
481	24453	26279
482	24504	26229
483	24556	26179
484	24610	26132
485	24658	26079
486	24712	26031
487	24765	25983
488	24811	25928
489	24871	25886
490	24917	25830
491	24967	25779
492	25029	25739
493	25072	25681
494	25130	25638
495	25176	25582
496	25226	25531
497	25283	25486
498	25333	25435
499	25392	25392
500	25443	25342
501	25491	25288
502	25544	25239
503	25597	25191
504	25645	25137
505	25693	25083
506	25754	25042
507	25813	25000
508	25860	24945
509	25906	24890
510	25966	24848
511	26020	24800
512	26086	24764
513	26136	24712
514	26194	24668
515	26247	24619
516	26314	24583
517	26374	24541
518	26438	24502
519	26487	24450
520	26545	24405
521	26606	24363
522	26668	24322
523	26724	24276
524	26774	24224
525	26824	24173
526	26869	24116
527	26916	24061
528	26962	24006
529	27013	23955
530	27069	23909
531	27118	23856
532	27171	23806
533	27219	23753
534	27266	23699
535	27322	23651
536	27365	23594
537	27409	23537
538	27464	23489
539	27516	23440
540	27567	23389
541	27624	23343
542	27675	23291
543	27733	23246
544	27795	23205
545	27849	23157
546	27904	23108
547	27956	23059
548	28008	23008
549	28062	22960
550	28108	22905
551	28152	22848
552	28205	22799
553	28266	22756
554	28319	22706
555	28367	22652
556	28409	22595
557	28454	22539
558	28503	22486
559	28560	22440
560	28609	22388
561	28659	22335
562	28716	22289
563	28768	22239
564	28820	22189
565	28873	22139
566	28921	22086
567	28978	22039
568	29033	21992
569	29090	21945
570	29143	21895
571	29199	21848
572	29244	21793
573	29292	21739
574	29347	21691
575	29399	21641
576	29448	21588
577	29492	21532
578	29541	21479
579	29589	21427
580	29637	21373
581	29691	21324
582	29744	21274
583	29801	21228
584	29860	21183
585	29904	21127
586	29953	21074
587	30021	21035
588	30088	20995
589	30145	20948
590	30212	20908
591	30271	20863
592	30332	20818
593	30399	20777
594	30455	20730
595	30519	20687
596	30570	20636
597	30628	20589
598	30688	20544
599	30744	20496
600	30812	20455
601	30867	20407
602	30932	20365
603	30993	20320
604	31044	20268
605	31096	20217
606	31147	20166
607	31201	20117
608	31246	20061
609	31295	20008
610	31349	19959
611	31414	19916
612	31462	19863
613	31513	19811
614	31564	19759
615	31626	19715
616	31685	19668
617	31733	19615
618	31791	19568
619	31848	19519
620	31892	19464
621	31943	19412
622	31987	19357
623	32044	19308
624	32095	19257
625	32144	19204
626	32194	19152
627	32243	19099
628	32308	19056
629	32354	19001
630	32402	18948
631	32461	18901
632	32514	18851
633	32563	18798
634	32625	18753
635	32680	18703
636	32723	18647
637	32789	18604
638	32862	18565
639	32936	18526
640	32991	18477
641	33056	18433
642	33111	18383
643	33168	18335
644	33232	18290
645	33273	18233
646	33321	18180
647	33364	18124
648	33415	18072
649	33457	18015
650	33503	17961
651	33564	17914
652	33613	17862
653	33666	17811
654	33726	17764
655	33785	17716
656	33847	17670
657	33900	17619
658	33950	17567
659	34005	17518
660	34061	17468
661	34120	17421
662	34176	17371
663	34227	17319
664	34284	17270
665	34334	17218
666	34387	17167
667	34446	17119
668	34493	17066
669	34547	17015
670	34614	16972
671	34663	16919
672	34715	16867
673	34767	16816
674	34827	16768
675	34876	16716
676	34923	16662
677	34966	16606
678	35024	16558
679	35087	16511
680	35147	16464
681	35199	16412
682	35258	16364
683	35309	16312
684	35369	16264
685	35433	16218
686	35486	16167
687	35542	16118
688	35607	16072
689	35666	16023
690	35722	15974
691	35776	15923
692	35823	15869
693	35873	15817
694	35917	15762
695	35971	15711
696	36024	15660
697	36075	15608
698	36127	15557
699	36182	15506
700	36238	15457
701	36288	15404
702	36341	15353
703	36408	15308
704	36461	15257
705	36513	15205
706	36565	15153
707	36620	15103
708	36672	15051
709	36717	14997
710	36770	14946
711	36825	14895
712	36883	14846
713	36950	14800
714	37010	14752
715	37061	14700
716	37112	14648
717	37164	14596
718	37208	14541
719	37256	14488
720	37306	14436
721	37358	14384
722	37410	14333
723	37460	14280
724	37527	14234
725	37595	14189
726	37648	14137
